[ 2026-06-10 01:05:28,926 ] 20 root - INFO - Initiate the data ingestion
[ 2026-06-10 01:05:29,049 ] 96 pymongo.serverSelection - INFO - {"message": "Waiting for suitable server to become available", "selector": "Primary()", "operation": "find", "topologyDescription": "<TopologyDescription id: 6a286b011061fc69224ff40e, topology_type: ReplicaSetNoPrimary, servers: [<ServerDescription ('ac-zl6agmd-shard-00-00.ltiglrd.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-zl6agmd-shard-00-01.ltiglrd.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-zl6agmd-shard-00-02.ltiglrd.mongodb.net', 27017) server_type: Unknown, rtt: None>]>", "clientId": {"$oid": "6a286b011061fc69224ff40e"}, "remainingTimeMS": 30}
[ 2026-06-10 01:05:31,016 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-06-10 01:05:31,016 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-06-10 01:05:31,016 ] 75 root - INFO - Exporting train and test file path.
[ 2026-06-10 01:05:31,055 ] 84 root - INFO - Exported train and test file path.
[ 2026-06-10 01:05:31,055 ] 22 root - INFO - Data Initiation Completed
[ 2026-06-10 01:05:31,066 ] 26 root - INFO - Initiate the data Validation
[ 2026-06-10 01:05:31,143 ] 32 root - INFO - Required number of columns:2
[ 2026-06-10 01:05:31,143 ] 33 root - INFO - Data frame has columns:31
[ 2026-06-10 01:05:31,143 ] 32 root - INFO - Required number of columns:2
[ 2026-06-10 01:05:31,143 ] 33 root - INFO - Data frame has columns:31
[ 2026-06-10 01:05:31,247 ] 28 root - INFO - data Validation Completed
[ 2026-06-10 01:05:31,247 ] 31 root - INFO - data Transformation started
[ 2026-06-10 01:05:31,247 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-06-10 01:05:31,247 ] 65 root - INFO - Starting data transformation
[ 2026-06-10 01:05:31,273 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-06-10 01:05:31,273 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-06-10 01:05:31,284 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-06-10 01:05:31,286 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-06-10 01:05:31,286 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-06-10 01:05:31,286 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-06-10 01:05:31,286 ] 35 root - INFO - data Transformation completed
[ 2026-06-10 01:05:31,286 ] 37 root - INFO - Model Training sstared
[ 2026-06-10 01:07:52,184 ] 95 root - INFO - Best model: Random Forest with score: 0.8885085368414265
[ 2026-06-10 01:07:52,594 ] 37 alembic.runtime.plugins - INFO - setup plugin alembic.autogenerate.schemas
[ 2026-06-10 01:07:52,594 ] 37 alembic.runtime.plugins - INFO - setup plugin alembic.autogenerate.tables
[ 2026-06-10 01:07:52,594 ] 37 alembic.runtime.plugins - INFO - setup plugin alembic.autogenerate.types
[ 2026-06-10 01:07:52,594 ] 37 alembic.runtime.plugins - INFO - setup plugin alembic.autogenerate.constraints
[ 2026-06-10 01:07:52,594 ] 37 alembic.runtime.plugins - INFO - setup plugin alembic.autogenerate.defaults
[ 2026-06-10 01:07:52,594 ] 37 alembic.runtime.plugins - INFO - setup plugin alembic.autogenerate.comments
[ 2026-06-10 01:07:52,871 ] 210 alembic.runtime.migration - INFO - Context impl SQLiteImpl.
[ 2026-06-10 01:07:52,871 ] 213 alembic.runtime.migration - INFO - Will assume non-transactional DDL.
