[ 2026-06-10 11:55:41,506 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[ 2026-06-10 11:55:42,324 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[ 2026-06-10 11:55:43,279 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2026-06-10 11:55:43,296 ] 107 dagshub - INFO - Accessing as Pragathithimmaiah
[ 2026-06-10 11:55:44,200 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/Pragathithimmaiah/networksecurity "HTTP/1.1 200 OK"
[ 2026-06-10 11:55:45,018 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2026-06-10 11:55:45,024 ] 107 dagshub - INFO - Initialized MLflow to track repo "Pragathithimmaiah/networksecurity"
[ 2026-06-10 11:55:45,025 ] 107 dagshub - INFO - Repository Pragathithimmaiah/networksecurity initialized!
[ 2026-06-10 11:55:45,027 ] 20 root - INFO - Initiate the data ingestion
[ 2026-06-10 11:55:45,523 ] 96 pymongo.serverSelection - INFO - {"message": "Waiting for suitable server to become available", "selector": "Primary()", "operation": "find", "topologyDescription": "<TopologyDescription id: 6a2903692658fccd354048fa, topology_type: ReplicaSetNoPrimary, servers: [<ServerDescription ('ac-zl6agmd-shard-00-00.ltiglrd.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-zl6agmd-shard-00-01.ltiglrd.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-zl6agmd-shard-00-02.ltiglrd.mongodb.net', 27017) server_type: Unknown, rtt: None>]>", "clientId": {"$oid": "6a2903692658fccd354048fa"}, "remainingTimeMS": 30}
[ 2026-06-10 11:55:48,046 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-06-10 11:55:48,046 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-06-10 11:55:48,047 ] 75 root - INFO - Exporting train and test file path.
[ 2026-06-10 11:55:48,242 ] 84 root - INFO - Exported train and test file path.
[ 2026-06-10 11:55:48,243 ] 22 root - INFO - Data Initiation Completed
[ 2026-06-10 11:55:48,269 ] 26 root - INFO - Initiate the data Validation
[ 2026-06-10 11:55:48,491 ] 32 root - INFO - Required number of columns:2
[ 2026-06-10 11:55:48,491 ] 33 root - INFO - Data frame has columns:31
[ 2026-06-10 11:55:48,491 ] 32 root - INFO - Required number of columns:2
[ 2026-06-10 11:55:48,491 ] 33 root - INFO - Data frame has columns:31
[ 2026-06-10 11:55:49,023 ] 28 root - INFO - data Validation Completed
[ 2026-06-10 11:55:49,024 ] 31 root - INFO - data Transformation started
[ 2026-06-10 11:55:49,024 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-06-10 11:55:49,024 ] 65 root - INFO - Starting data transformation
[ 2026-06-10 11:55:49,102 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-06-10 11:55:49,102 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-06-10 11:55:49,140 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-06-10 11:55:49,147 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-06-10 11:55:49,147 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-06-10 11:55:49,155 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-06-10 11:55:49,158 ] 35 root - INFO - data Transformation completed
[ 2026-06-10 11:55:49,158 ] 37 root - INFO - Model Training sstared
[ 2026-06-10 12:07:22,452 ] 94 root - INFO - Best model: Random Forest with score: 0.8752938327065455
